Video analysis state log

Face Model:	General61
Calibration:	None
Start time:	30-01-2019 10:23:42.807
Filename:	\Recorded Videos\Participant 1_Analysis 2_20190130_102342.avi
Frame rate:	15

Video Time	Emotion
00:00:00.000	Unknown
00:00:01.133	Neutral
00:00:01.933	Surprised
00:00:02.733	Neutral
00:00:03.533	Happy
00:00:05.200	Neutral
00:00:08.933	Unknown
00:00:13.533	Neutral
00:00:14.600	Unknown
00:00:18.533	Neutral
00:00:21.866	Happy
00:00:24.000	Unknown
00:01:40.600	Neutral
00:01:43.333	Unknown
00:02:04.000	Surprised
00:02:05.400	Unknown
00:02:54.000	Happy
00:02:55.733	Unknown
00:02:56.466	Surprised
00:02:57.333	Unknown
00:03:20.266	Neutral
00:03:21.533	Unknown
00:03:22.866	Surprised
00:03:24.666	Neutral
00:03:29.133	Surprised
00:03:30.866	Unknown
00:03:45.866	Neutral
00:03:46.733	Unknown
00:04:01.200	Neutral
00:04:01.800	Unknown
00:04:12.000	Disgusted
00:04:13.066	Unknown
00:04:14.400	Neutral
00:04:16.400	Unknown
00:04:52.133	Happy
00:04:53.133	Unknown
00:04:55.666	Neutral
00:04:56.333	Unknown
00:04:57.133	Happy
00:04:57.733	Unknown
00:05:12.000	Neutral
00:05:12.600	Unknown
00:05:13.933	Surprised
00:05:14.533	Unknown
00:05:16.333	Neutral
00:05:16.933	Unknown
00:05:18.066	Neutral
00:05:19.533	Sad
00:05:20.466	Unknown
00:05:21.800	Neutral
00:05:22.866	Unknown
00:05:25.933	Neutral
00:05:27.600	Unknown
00:05:31.933	Neutral
00:05:32.533	Unknown
00:05:43.333	Happy
00:05:44.866	Surprised
00:05:49.800	Neutral
00:05:51.266	Unknown
00:05:51.933	Neutral
00:06:00.933	Scared
00:06:01.800	Neutral
00:06:09.000	Unknown
00:06:11.600	Neutral
00:06:16.800	Unknown
00:06:17.800	Neutral
00:06:20.533	Scared
00:06:21.133	Neutral
00:07:20.466	Unknown
00:07:22.000	Neutral
00:07:41.066	Sad
00:07:42.000	Neutral
00:08:02.200	Unknown
00:08:08.733	Neutral
00:08:15.533	Sad
00:08:16.533	Neutral
00:08:17.733	Unknown
00:08:23.333	Sad
00:08:24.400	Neutral
00:08:44.866	Unknown
00:08:46.133	Neutral
00:09:28.600	Unknown
00:09:30.066	Neutral
00:09:42.866	Unknown
00:09:44.933	Neutral
00:10:47.933	Sad
00:10:53.600	Neutral
00:10:57.066	Sad
00:11:03.000	Unknown
00:11:03.600	Neutral
00:11:50.666	Unknown
00:11:51.866	Neutral
00:12:19.800	Unknown
00:12:21.266	Neutral
00:12:30.933	Sad
00:12:39.333	Neutral
00:12:40.200	Sad
00:12:42.733	Unknown
00:12:46.066	Neutral
00:12:55.533	Unknown
00:12:56.733	Neutral
00:13:21.000	Unknown
00:13:21.733	Neutral
00:13:32.333	Unknown
00:13:39.333	Neutral
00:13:41.200	Unknown
00:13:44.200	Neutral
00:13:47.333	Unknown
00:13:48.066	Neutral
00:14:28.866	Unknown
00:14:31.600	Neutral
00:15:03.733	Unknown
00:15:04.333	Neutral
00:15:08.466	Unknown
00:15:10.733	Neutral
00:15:12.133	Unknown
00:15:14.533	Neutral
00:15:18.200	Unknown
00:15:29.800	Neutral
00:15:34.400	Unknown
00:16:02.800	Neutral
00:16:03.400	Unknown
00:16:04.866	Neutral
00:16:08.133	Unknown
00:16:10.800	Neutral
00:17:04.200	Unknown
00:17:05.866	Neutral
00:17:08.000	Unknown
00:17:18.466	Neutral
00:17:21.266	Unknown
00:17:31.533	Neutral
00:17:33.533	Unknown
00:17:39.133	Neutral
00:17:40.400	Unknown
00:17:42.133	Neutral
00:17:44.066	Unknown
00:18:00.466	Neutral
00:18:05.333	Unknown
00:18:30.133	Surprised
00:18:31.466	Unknown
00:18:34.200	Happy
00:18:35.733	Unknown
00:18:37.466	Neutral
00:18:38.066	Unknown
00:18:53.200	Happy
00:18:55.533	Unknown
00:19:26.000	Neutral
00:19:28.200	Unknown
00:19:30.133	Neutral
00:19:33.666	Unknown
00:19:37.800	Happy
00:19:38.866	Neutral
00:19:39.466	Happy
00:19:41.933	Unknown
00:19:56.066	Neutral
00:19:56.733	Unknown
00:19:58.133	Neutral
00:19:59.466	END
