Video analysis state log

Face Model:	General61
Calibration:	None
Start time:	30-01-2019 14:02:36.637
Filename:	\Recorded Videos\Participant 3_Analysis 1_20190130_140236.avi
Frame rate:	15

Video Time	Emotion
00:00:00.000	Unknown
00:00:07.800	Neutral
00:00:08.800	Unknown
00:00:10.200	Neutral
00:00:12.200	Unknown
00:00:26.200	Neutral
00:00:27.533	Unknown
00:00:35.600	Neutral
00:00:36.733	Unknown
00:00:41.266	Neutral
00:00:42.333	Unknown
00:00:55.133	Neutral
00:00:55.733	Unknown
00:01:12.133	Neutral
00:01:14.866	Unknown
00:01:18.866	Neutral
00:01:19.866	Unknown
00:01:20.466	Neutral
00:01:21.200	Unknown
00:01:25.133	Neutral
00:01:27.800	Unknown
00:01:32.533	Neutral
00:01:33.333	Unknown
00:01:36.666	Neutral
00:01:38.400	Unknown
00:02:04.133	Neutral
00:02:04.800	Unknown
00:02:07.600	Neutral
00:02:08.666	Unknown
00:02:22.666	Neutral
00:02:27.600	Unknown
00:02:30.533	Neutral
00:02:34.933	Unknown
00:02:36.800	Neutral
00:02:37.933	Unknown
00:02:43.933	Surprised
00:02:44.533	Neutral
00:02:47.800	Unknown
00:02:53.800	Neutral
00:02:56.733	Unknown
00:02:57.400	Neutral
00:02:58.000	Unknown
00:02:58.666	Neutral
00:03:07.933	Unknown
00:03:12.266	Neutral
00:03:17.066	Unknown
00:03:25.266	Neutral
00:03:30.866	Unknown
00:03:39.800	Neutral
00:03:50.600	Unknown
00:03:54.800	Neutral
00:03:59.733	Unknown
00:04:02.400	Neutral
00:04:26.333	Sad
00:04:27.066	Neutral
00:04:33.266	Unknown
00:04:34.333	Neutral
00:05:09.400	Unknown
00:05:14.600	Neutral
00:05:29.200	Unknown
00:05:33.133	Neutral
00:05:38.533	Sad
00:05:39.333	Neutral
00:06:16.866	Unknown
00:06:18.933	Neutral
00:06:39.266	Surprised
00:06:39.933	Neutral
00:06:47.600	Unknown
00:06:48.933	Neutral
00:07:03.066	Happy
00:07:03.866	Neutral
00:07:05.600	Unknown
00:07:07.000	Neutral
00:07:08.666	Scared
00:07:11.733	Neutral
00:07:16.066	Unknown
00:07:19.333	Neutral
00:07:23.133	Unknown
00:07:26.266	Neutral
00:07:33.866	Sad
00:07:34.666	Neutral
00:07:49.466	Unknown
00:07:51.533	Neutral
00:07:54.933	Unknown
00:07:56.400	Neutral
00:07:58.000	Unknown
00:08:00.933	Neutral
00:08:08.000	Unknown
00:08:13.800	Neutral
00:08:20.666	Unknown
00:08:21.400	Neutral
00:08:30.600	Unknown
00:08:36.466	Neutral
00:09:38.000	Unknown
00:09:42.266	Happy
00:09:42.933	Unknown
00:09:43.533	Happy
00:09:44.333	Unknown
00:09:51.133	Neutral
00:11:41.600	Unknown
00:11:44.000	Neutral
00:18:53.600	Unknown
00:18:57.533	Neutral
00:20:15.600	Unknown
00:20:16.466	Neutral
00:21:15.133	Happy
00:21:16.200	Neutral
00:21:23.933	Happy
00:21:24.533	Neutral
00:21:32.466	Unknown
00:21:33.200	Happy
00:21:35.666	Neutral
00:21:36.933	Happy
00:21:37.866	Neutral
00:21:40.066	Unknown
00:21:44.200	Neutral
00:21:48.800	Happy
00:21:49.533	Neutral
00:21:56.066	Unknown
00:21:57.266	Neutral
00:22:05.000	Happy
00:22:07.266	Neutral
00:22:23.400	Unknown
00:22:24.933	Neutral
00:22:34.000	Unknown
00:22:37.800	Neutral
00:22:38.866	Happy
00:22:39.733	Unknown
00:22:40.333	Neutral
00:22:41.733	Happy
00:22:48.400	Neutral
00:22:49.866	Happy
00:22:51.400	Unknown
00:22:53.733	Neutral
00:22:54.533	Unknown
00:22:57.666	Neutral
00:22:59.533	Unknown
00:23:03.933	Neutral
00:23:08.333	Unknown
00:23:09.200	Neutral
00:23:13.933	Unknown
00:23:14.800	Neutral
00:23:22.466	Unknown
00:23:23.066	Neutral
00:23:26.733	Unknown
00:23:38.400	Neutral
00:23:40.866	Unknown
00:23:46.000	END
