Video analysis state log

Face Model:	General61
Calibration:	None
Start time:	29-01-2019 13:18:12.686
Filename:	\Recorded Videos\Participant 6_Analysis 1_20190129_131812.avi
Frame rate:	15

Video Time	Emotion
00:00:00.000	Unknown
00:00:25.333	Sad
00:00:26.000	Neutral
00:00:26.666	Unknown
00:00:27.533	Neutral
00:00:28.933	Unknown
00:00:29.866	Neutral
00:00:30.933	Unknown
00:00:31.600	Neutral
00:00:38.733	Unknown
00:00:41.133	Neutral
00:01:01.333	Unknown
00:01:09.600	Neutral
00:01:23.266	Unknown
00:01:34.333	Surprised
00:01:35.066	Unknown
00:01:41.400	Sad
00:01:43.266	Unknown
00:01:46.666	Neutral
00:01:48.600	Unknown
00:01:51.533	Neutral
00:01:52.466	Unknown
00:01:54.000	Neutral
00:01:54.666	Unknown
00:01:57.066	Neutral
00:02:01.800	Unknown
00:02:05.333	Happy
00:02:07.600	Unknown
00:02:16.133	Happy
00:02:16.933	Neutral
00:02:18.000	Happy
00:02:18.733	Neutral
00:02:19.800	Unknown
00:02:22.933	Neutral
00:02:25.200	Unknown
00:02:47.000	Happy
00:02:47.666	Unknown
00:02:50.800	Neutral
00:02:52.400	Happy
00:02:54.133	Neutral
00:02:56.800	Unknown
00:03:11.200	Neutral
00:03:12.200	Unknown
00:03:36.000	Happy
00:03:37.133	Unknown
00:04:52.866	Neutral
00:05:13.266	Unknown
00:05:39.666	Neutral
00:05:40.733	Unknown
00:05:41.333	Neutral
00:06:01.533	Unknown
00:06:03.933	Neutral
00:06:10.466	Unknown
00:06:25.600	Neutral
00:06:26.800	Unknown
00:06:53.466	Neutral
00:06:56.533	Unknown
00:07:04.466	Neutral
00:07:05.333	Unknown
00:07:10.400	Neutral
00:07:11.600	Unknown
00:07:23.466	Happy
00:07:25.666	Unknown
00:07:42.200	Happy
00:07:43.800	Unknown
00:07:50.666	Happy
00:07:51.266	Neutral
00:07:52.266	Happy
00:07:57.200	Unknown
00:08:04.933	Happy
00:08:06.133	Unknown
00:08:11.266	Neutral
00:08:12.400	Unknown
00:08:15.200	Happy
00:08:19.000	Unknown
00:08:28.866	Happy
00:08:32.466	Unknown
00:08:35.133	Neutral
00:08:36.933	Happy
00:08:50.600	Unknown
00:08:52.866	Happy
00:09:03.000	Neutral
00:09:08.800	Unknown
00:09:09.466	Neutral
00:09:10.933	Happy
00:09:12.733	Neutral
00:09:22.933	Unknown
00:09:24.533	Neutral
00:11:19.066	Sad
00:11:19.800	Neutral
00:11:35.000	Sad
00:11:36.000	Neutral
00:13:56.333	Sad
00:13:57.000	Neutral
00:14:23.200	Sad
00:14:24.333	Neutral
00:15:15.600	Unknown
00:15:17.066	Neutral
00:20:12.533	Unknown
00:20:18.666	Neutral
00:20:29.400	Happy
00:20:31.266	Neutral
00:20:33.666	Unknown
00:20:34.800	Neutral
00:20:36.933	Unknown
00:20:38.533	Neutral
00:20:46.200	Unknown
00:20:52.666	Neutral
00:20:52.866	END
