Video analysis state log

Face Model:	General61
Calibration:	None
Start time:	29-01-2019 08:45:26.099
Filename:	\Recorded Videos\Participant 2_Analysis 2_20190129_084526.avi
Frame rate:	15

Video Time	Emotion
00:00:00.000	Unknown
00:00:40.666	Neutral
00:00:53.266	Unknown
00:00:56.133	Neutral
00:00:57.533	Unknown
00:01:04.933	Neutral
00:01:05.666	Unknown
00:01:13.133	Neutral
00:01:21.333	Happy
00:01:22.000	Neutral
00:01:22.866	Surprised
00:01:26.000	Neutral
00:01:28.133	Sad
00:01:28.866	Neutral
00:01:34.266	Unknown
00:01:35.466	Neutral
00:01:50.533	Unknown
00:01:56.466	Happy
00:01:57.733	Neutral
00:02:09.000	Surprised
00:02:11.400	Unknown
00:02:14.333	Surprised
00:02:15.266	Neutral
00:02:18.933	Surprised
00:02:19.600	Neutral
00:02:32.333	Unknown
00:02:33.800	Neutral
00:02:53.400	Happy
00:02:54.466	Neutral
00:02:56.666	Unknown
00:03:03.066	Neutral
00:03:07.933	Unknown
00:03:10.933	Neutral
00:03:16.933	Surprised
00:03:22.066	Unknown
00:03:22.866	Neutral
00:03:25.400	Unknown
00:03:27.600	Neutral
00:03:39.533	Unknown
00:03:42.666	Neutral
00:03:49.733	Surprised
00:03:50.866	Happy
00:03:52.066	Surprised
00:03:53.533	Unknown
00:03:55.733	Neutral
00:04:02.200	Unknown
00:04:03.333	Neutral
00:04:08.600	Sad
00:04:10.800	Neutral
00:04:15.400	Unknown
00:04:18.533	Neutral
00:04:20.933	Unknown
00:04:21.800	Neutral
00:04:34.866	Surprised
00:04:35.666	Neutral
00:04:38.133	Surprised
00:04:38.933	Neutral
00:04:56.200	Unknown
00:04:59.266	Neutral
00:05:00.600	Unknown
00:05:07.533	Neutral
00:05:15.400	Surprised
00:05:16.333	Happy
00:05:18.133	Neutral
00:05:22.266	Unknown
00:05:26.333	Surprised
00:05:28.000	Neutral
00:05:29.866	Unknown
00:05:31.466	Neutral
00:05:33.333	Surprised
00:05:34.533	Unknown
00:05:37.400	Neutral
00:05:46.200	Unknown
00:05:48.133	Neutral
00:05:52.466	Surprised
00:05:53.466	Neutral
00:06:03.133	Unknown
00:06:14.266	Surprised
00:06:18.933	Neutral
00:06:58.466	Sad
00:06:59.333	Unknown
00:07:01.066	Sad
00:07:07.066	Unknown
00:07:14.000	Sad
00:07:14.933	Unknown
00:07:16.266	Happy
00:07:17.066	Neutral
00:07:18.066	Unknown
00:07:18.933	Neutral
00:07:24.133	Unknown
00:07:24.733	Sad
00:07:26.200	Neutral
00:07:37.800	Unknown
00:07:39.866	Neutral
00:07:45.666	Sad
00:07:46.933	Neutral
00:07:48.000	Happy
00:07:49.933	Neutral
00:07:53.533	Unknown
00:07:56.333	Neutral
00:07:56.933	Happy
00:07:59.133	Neutral
00:08:08.400	Happy
00:08:11.200	Neutral
00:19:18.600	Unknown
00:19:19.400	Neutral
00:19:26.133	Surprised
00:19:27.600	Neutral
00:19:31.933	Unknown
00:19:32.800	Sad
00:19:36.666	Neutral
00:19:39.466	Sad
00:19:41.666	Neutral
00:19:47.266	Unknown
00:19:54.800	END
