Video analysis state log

Face Model:	General61
Calibration:	None
Start time:	29-01-2019 11:07:50.822
Filename:	\Recorded Videos\Participant 3_Analysis 1_20190129_110750.avi
Frame rate:	15

Video Time	Emotion
00:00:00.000	Unknown
00:01:48.866	Surprised
00:01:49.866	Neutral
00:01:57.666	Unknown
00:02:00.800	Happy
00:02:01.800	Neutral
00:02:04.200	Unknown
00:02:05.000	Neutral
00:02:06.133	Unknown
00:02:07.933	Neutral
00:02:09.866	Unknown
00:02:21.466	Neutral
00:02:24.333	Unknown
00:02:51.733	Neutral
00:02:52.733	Unknown
00:03:05.933	Happy
00:03:07.000	Unknown
00:03:12.533	Happy
00:03:14.466	Unknown
00:03:47.466	Neutral
00:03:48.200	Unknown
00:03:59.466	Neutral
00:04:00.066	Unknown
00:04:00.800	Neutral
00:04:07.333	Happy
00:04:08.666	Unknown
00:04:11.466	Neutral
00:04:14.066	Happy
00:04:15.133	Unknown
00:04:16.200	Surprised
00:04:17.466	Unknown
00:04:25.600	Happy
00:04:29.000	Unknown
00:04:32.333	Neutral
00:04:37.733	Happy
00:04:39.066	Unknown
00:04:53.066	Neutral
00:04:54.666	Unknown
00:05:02.066	Neutral
00:05:03.666	Unknown
00:05:22.733	Neutral
00:05:27.333	Happy
00:05:28.533	Neutral
00:05:32.933	Unknown
00:05:42.133	Neutral
00:05:42.800	Unknown
00:05:57.933	Neutral
00:06:00.066	Sad
00:06:01.000	Unknown
00:06:11.133	Neutral
00:06:17.666	Happy
00:06:21.066	Unknown
00:06:22.200	Neutral
00:06:26.400	Unknown
00:06:31.266	Neutral
00:06:32.333	Unknown
00:07:06.933	Happy
00:07:08.333	Unknown
00:07:42.533	Neutral
00:07:44.600	Unknown
00:07:48.666	Happy
00:07:50.066	Neutral
00:07:55.933	Unknown
00:07:56.600	Neutral
00:08:03.200	Surprised
00:08:04.333	Unknown
00:08:32.600	Surprised
00:08:33.266	Happy
00:08:38.000	Neutral
00:08:46.800	Happy
00:08:47.400	Neutral
00:08:48.066	Happy
00:08:49.666	Neutral
00:08:50.666	Unknown
00:08:55.533	Neutral
00:09:09.533	Unknown
00:09:11.400	Neutral
00:09:12.000	Unknown
00:09:16.333	Neutral
00:09:25.600	Unknown
00:09:29.600	Neutral
00:09:35.866	Unknown
00:09:41.666	Happy
00:09:49.133	Neutral
00:10:01.733	Happy
00:10:02.733	Neutral
00:10:03.600	Unknown
00:10:08.200	Neutral
00:10:08.800	Unknown
00:10:16.466	Neutral
00:10:31.266	Unknown
00:10:51.533	Neutral
00:10:52.866	Unknown
00:10:53.933	Happy
00:10:57.533	Neutral
00:11:11.600	Unknown
00:11:14.133	Neutral
00:11:16.333	Unknown
00:11:17.266	Neutral
00:11:19.666	Unknown
00:11:25.733	Neutral
00:11:55.733	Unknown
00:11:57.000	Happy
00:11:59.200	Unknown
00:12:00.200	Neutral
00:23:00.000	Unknown
00:23:01.600	Neutral
00:23:05.066	Unknown
00:23:07.133	Happy
00:23:09.000	Neutral
00:23:11.200	Unknown
00:23:11.933	Neutral
00:23:13.000	Unknown
00:23:20.866	Neutral
00:23:24.666	Unknown
00:23:34.800	END
